source_lang,target_lang,source_text,target_text
en,ja,Thank you,ありがとうございます
hi,pa,यह मेरी किताब है,ਇਹ ਮੇਰੀ ਕਿਤਾਬ ਹੈ
en,hi,How are you,आप कैसे हैं
en,ja,I need help,助けが必要です
ja,te,私はプログラミングが好きです,నాకు ప్రోగ్రామింగ్ ఇష్టం
hi,en,मैं एक छात्र हूँ,I am a student
hi,ja,शुभ रात्रि,おやすみなさい
hi,te,मुझे मदद चाहिए,నాకు సహాయం కావాలి
ja,te,私は学生です,నేను విద్యార్థిని
te,pa,ధన్యవాదాలు,ਧੰਨਵਾਦ
te,pa,నమస్తే,ਸਤ ਸ੍ਰੀ ਅਕਾਲ
hi,ja,शुभ रात्रि,おやすみなさい
en,ja,This is my book,これは私の本です
pa,ja,ਧੰਨਵਾਦ,ありがとうございます
en,te,This is my book,ఇది నా పుస్తకం
en,te,Hello,నమస్తే
pa,te,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,నమస్తే
te,en,నాకు ప్రోగ్రామింగ్ ఇష్టం,I love programming
en,ja,I need help,助けが必要です
pa,en,ਸਵਾਗਤ ਹੈ,Welcome
te,hi,నమస్తే,नमस्ते
te,hi,స్వాగతం,स्वागत है
hi,pa,धन्यवाद,ਧੰਨਵਾਦ
ja,te,私はプログラミングが好きです,నాకు ప్రోగ్రామింగ్ ఇష్టం
hi,en,नमस्ते,Hello
te,pa,నాకు సహాయం కావాలి,ਮੈਨੂੰ ਮਦਦ ਚਾਹੀਦੀ ਹੈ
en,te,Thank you,ధన్యవాదాలు
en,pa,How are you,ਤੁਸੀਂ ਕਿਵੇਂ ਹੋ
en,hi,Thank you,धन्यवाद
hi,pa,मुझे प्रोग्रामिंग पसंद है,ਮੈਨੂੰ ਪ੍ਰੋਗ੍ਰਾਮਿੰਗ ਪਸੰਦ ਹੈ
en,te,This is my book,ఇది నా పుస్తకం
en,ja,How are you,お元気ですか
te,hi,నేను విద్యార్థిని,मैं एक छात्र हूँ
hi,ja,मुझे मदद चाहिए,助けが必要です
en,te,I am a student,నేను విద్యార్థిని
